date,prevclose,open,high,low,close,volume,amount,postVol,postAmt
2026-01-07,,3.311,3.336,3.281,3.311,1227046740,4059296356,,
2026-01-08,,3.291,3.313,3.27,3.287,1103912963,3632320850,,
2026-01-09,,3.269,3.315,3.253,3.314,1545146254,5087072562,,
2026-01-12,,3.314,3.387,3.267,3.371,2193720124,7314374488,,
2026-01-13,,3.372,3.402,3.291,3.306,1931467280,6466148012,,
2026-01-14,,3.307,3.388,3.292,3.332,2874007868,9606956789,,
2026-01-15,,3.306,3.359,3.293,3.352,3886523269,12904865517,,
2026-01-16,,3.382,3.394,3.337,3.346,4092518760,13720977212,,
2026-01-19,,3.327,3.369,3.31,3.318,1943741767,6480798730,,
2026-01-20,,3.319,3.335,3.242,3.263,2328267455,7628206634,,
2026-01-21,,3.243,3.315,3.242,3.281,1195061529,3933094023,,
2026-01-22,,3.298,3.323,3.264,3.315,1791980017,5894354074,,
2026-01-23,,3.322,3.337,3.304,3.337,907993890,3018742908,,
2026-01-26,,3.352,3.355,3.292,3.305,1678245655,5559095524,,
2026-01-27,,3.31,3.352,3.263,3.327,1765271470,5853388037,,
2026-01-28,,3.342,3.345,3.29,3.307,1949640170,6465046669,,
2026-01-29,,3.297,3.342,3.284,3.292,1626118743,5378675115,,
2026-01-30,,3.286,3.355,3.241,3.335,1291838077,4271421135,,
2026-02-02,,3.338,3.376,3.248,3.252,1148759349,3801816673,,
2026-02-03,,3.302,3.32,3.238,3.313,1201589298,3952454659,,
2026-02-04,,3.29,3.307,3.233,3.297,1179786209,3852326602,,
2026-02-05,,3.264,3.278,3.227,3.238,985289360,3200834323,,
2026-02-06,,3.21,3.275,3.187,3.229,878530633,2843474221,,
2026-02-09,,3.288,3.327,3.263,3.321,989621332,3265112642,,
2026-02-10,,3.327,3.335,3.307,3.311,538115550,1786183382,,
2026-02-11,,3.3,3.312,3.272,3.273,811867303,2669085869,,
2026-02-12,,3.28,3.323,3.277,3.319,951628247,3145580564,,
2026-02-13,,3.303,3.313,3.263,3.265,935966363,3077154441,,
2026-02-24,,3.318,3.331,3.282,3.295,924963954,3059400028,,
2026-02-25,,3.301,3.352,3.293,3.344,1102226404,3669068170,,
2026-02-26,,3.338,3.343,3.301,3.336,891284310,2959414787,,
2026-02-27,,3.31,3.317,3.283,3.301,1270882079,4189212907,,
2026-03-02,,3.251,3.308,3.25,3.282,1691759057,5551369279,,
2026-03-03,,3.303,3.32,3.198,3.205,1675116860,5460114838,,
2026-03-04,,3.17,3.207,3.138,3.154,1404622762,4453321263,,
2026-03-05,,3.216,3.254,3.183,3.206,1591868255,5123994849,,
2026-03-06,,3.191,3.238,3.169,3.225,859446068,2755966768,,
2026-03-09,,3.183,3.21,3.1,3.201,1371918888,4311143644,,
2026-03-10,,3.267,3.298,3.252,3.296,1240933559,4069373222,,
2026-03-11,,3.303,3.377,3.303,3.335,1073178339,3585290331,,
2026-03-12,,3.34,3.35,3.278,3.308,787646108,2601723474,,
2026-03-13,,3.29,3.334,3.28,3.3,809791868,2682651221,,
2026-03-16,,3.308,3.35,3.275,3.349,1065374425,3529085209,,
2026-03-17,,3.369,3.379,3.271,3.273,1159777395,3853089118,,
2026-03-18,,3.293,3.341,3.265,3.338,1120868025,3701559654,,
2026-03-19,,3.297,3.353,3.287,3.303,1246934476,4139744624,,
2026-03-20,,3.337,3.417,3.337,3.341,1959672859,6613612449,,
2026-03-23,,3.3,3.326,3.206,3.228,1683293180,5505326628,,
2026-03-24,,3.275,3.277,3.145,3.237,1481026692,4747716097,,
2026-03-25,,3.279,3.315,3.262,3.307,1178836757,3885554464,,
2026-03-26,,3.306,3.338,3.256,3.263,953041836,3137106085,,
2026-03-27,,3.241,3.313,3.221,3.293,941177748,3079351984,,
2026-03-30,,3.242,3.273,3.216,3.264,988480358,3210679548,,
2026-03-31,,3.248,3.272,3.178,3.182,1379478960,4434723770,,
2026-04-01,,3.245,3.247,3.2,3.232,1137456799,3666283810,,
2026-04-02,,3.224,3.224,3.148,3.164,1035747386,3296758515,,
2026-04-03,,3.182,3.189,3.139,3.141,735319582,2326714625,,
2026-04-07,,3.153,3.173,3.125,3.151,749372436,2361499071,,
2026-04-08,,3.241,3.345,3.235,3.345,1456939901,4785824706,,
2026-04-09,,3.316,3.331,3.292,3.32,726721415,2407159487,,
2026-04-10,,3.339,3.462,3.339,3.437,1393326433,4765722094,,
2026-04-13,,3.43,3.485,3.421,3.468,1041762858,3606546238,,
2026-04-14,,3.501,3.552,3.484,3.55,1063243629,3744100707,,
2026-04-15,,3.589,3.595,3.482,3.511,1352469021,4785008636,,
2026-04-16,,3.522,3.624,3.511,3.624,1479654181,5298080775,,
2026-04-17,,3.638,3.678,3.61,3.67,1503305804,5489998911,,
2026-04-20,,3.657,3.689,3.636,3.672,1485358840,5444544524,,
2026-04-21,,3.663,3.688,3.614,3.681,1382838279,5051182323,,
2026-04-22,,3.66,3.761,3.66,3.758,1861500562,6923895011,,
2026-04-23,,3.769,3.789,3.684,3.728,1458092107,5446610050,,
2026-04-24,,3.689,3.704,3.63,3.674,1712826513,6285359225,,
2026-04-27,,3.68,3.691,3.643,3.652,960411127,3519636450,,
2026-04-28,,3.63,3.643,3.588,3.602,1106101937,3998704631,,
2026-04-29,,3.585,3.7,3.578,3.694,1064146064,3886447435,,
2026-04-30,,3.703,3.727,3.668,3.689,1003983995,3710117031,,
2026-05-06,,3.763,3.824,3.733,3.786,1963948718,7445851678,,
2026-05-07,,3.814,3.849,3.769,3.845,894995493,3408781901,,
2026-05-08,,3.811,3.851,3.796,3.806,969617959,3704430721,,
2026-05-11,,3.834,3.947,3.806,3.947,1348822785,5237822671,,
2026-05-12,,3.952,3.966,3.907,3.94,1248083142,4919168160,,
2026-05-13,,3.91,4.054,3.904,4.048,1215009887,4827427703,,
2026-05-14,,4.092,4.104,3.948,3.961,1471968793,5906571389,,
2026-05-15,,3.961,4.015,3.88,3.97,1903600706,7510651175,,
2026-05-18,,3.912,3.971,3.892,3.923,1387092169,5450614721,,
2026-05-19,,3.901,3.931,3.82,3.922,1473240345,5712080576,,
2026-05-20,,3.895,3.959,3.895,3.932,1160267846,4551859988,,
2026-05-21,,3.97,4.029,3.835,3.846,1828414522,7219559133,,
2026-05-22,,3.877,3.959,3.866,3.946,1447580004,5660833954,,
2026-05-25,,3.982,4.034,3.916,4.034,1365032611,5436396960,,
2026-05-26,,4.012,4.07,3.997,4.055,1602324564,6460251325,,
2026-05-27,,4.053,4.158,4.027,4.056,1747333142,7161587255,,
2026-05-28,,4.039,4.148,3.984,4.138,1401168181,5679123150,,
2026-05-29,,4.143,4.174,4.022,4.053,1617188056,6627594235,,
2026-06-01,,4.047,4.094,3.956,3.964,1322445104,5325031114,,
2026-06-02,,3.981,4.098,3.959,4.071,1482175013,5968727720,,
2026-06-03,,4.095,4.23,4.076,4.145,1649058134,6853479731,,
2026-06-04,,4.074,4.131,4.065,4.1,1059912087,4344953806,,
2026-06-05,,4.083,4.122,3.947,3.977,1466350474,5925661225,,
2026-06-08,,3.83,3.916,3.79,3.827,1791638820,6918765209,,
2026-06-09,,3.877,3.975,3.836,3.972,1578765256,6169162414,,
2026-06-10,,3.925,3.942,3.835,3.87,1269815008,4932052567,,
2026-06-11,,3.843,3.925,3.77,3.83,1513149151,5811234668,,
2026-06-12,,3.932,3.934,3.835,3.846,1249608655,4861543973,,
2026-06-15,,3.912,4.053,3.858,4.045,1461049638,5783322879,,
2026-06-16,,4.068,4.154,4.063,4.111,1092149090,4481671130,,
2026-06-17,,4.086,4.183,4.071,4.183,1093703625,4511811472,,
2026-06-18,,4.169,4.288,4.16,4.269,1058053220,4493982914,,
2026-06-22,,4.291,4.379,4.24,4.379,1592598007,6869550101,,
2026-06-23,,4.379,4.379,4.17,4.21,1896738455,8095279908,,
2026-06-24,,4.206,4.271,4.174,4.258,1663473156,7032563318,,
2026-06-25,,4.287,4.395,4.254,4.395,1376051388,5951167240,,
2026-06-26,,4.328,4.344,4.19,4.215,1536030375,6542724817,,
2026-06-29,,4.2,4.28,4.118,4.236,1553590424,6516025415,,
2026-06-30,,4.224,4.37,4.221,4.364,1108784875,4776124320,,
2026-07-01,,4.364,4.378,4.234,4.274,1269215032,5484765907,,
2026-07-02,,4.207,4.207,4.016,4.036,1876485236,7700524824,,
2026-07-03,,4.002,4.13,4.0,4.037,1375218485,5595214368,,
2026-07-06,,4.051,4.077,3.918,3.97,1242213592,4961682398,1046300.0,4153811.0
2026-07-07,,3.93,3.991,3.872,3.932,1341260413,5277354423,549900.0,2162207.0
2026-07-08,,3.948,3.98,3.842,3.867,1649427791,6443919121,271700.0,1050664.0
2026-07-09,,3.904,4.048,3.831,4.04,1949204530,7646989098,1630200.0,6586008.0
2026-07-10,,4.046,4.088,3.86,3.862,1904831367,7609789602,556500.0,2149203.0
2026-07-13,,3.81,3.876,3.712,3.751,1904235521,7214651859,1080100.0,4051455.0
2026-07-14,,3.739,3.874,3.693,3.867,2314277726,8767464814,665900.0,2575035.0
2026-07-15,,3.885,3.925,3.812,3.828,1777971656,6879496075,725500.0,2777214.0
2026-07-16,,3.769,3.816,3.68,3.723,2074855825,7769713737,658300.0,2450851.0
2026-07-17,,3.679,3.679,3.408,3.463,4362298555,15426969214,2666800.0,9235128.0
2026-07-20,,3.512,3.572,3.358,3.477,5629939389,19456636144,928900.0,3229785.0
2026-07-21,,3.488,3.713,3.393,3.709,4276929334,15265724240,2710900.0,10054728.0
2026-07-22,,3.65,3.716,3.575,3.586,2591773591,9480428888,1077100.0,3862481.0
2026-07-23,,3.597,3.645,3.559,3.597,1774276352,6389409937,595300.0,2141294.0
2026-07-24,,3.536,3.584,3.507,3.508,1818505129,6442931155,1280640.0,4492485.0
2026-07-27,,3.502,3.618,3.47,3.612,1896639962,6740596949,963000.0,3478356.0
2026-07-28,,3.513,3.538,3.335,3.355,3733771019,12793024818,741700.0,2488404.0
2026-07-29,,3.346,3.435,3.273,3.402,3707918287,12446158037,833700.0,2836247.0
2026-07-30,,3.35,3.379,3.182,3.27,5146492062,16874598853,1603200.0,5242464.0
2026-07-31,,3.437,3.486,3.367,3.368,4394741213,15089205628,1703900.0,5738735.0
2026-08-03,,3.323,3.365,3.3,3.325,1914486073,6381406432,709400.0,2358755.0
2026-08-04,,3.375,3.533,3.361,3.514,2790576363,9646117693,1950200.0,6853003.0
2026-08-05,,3.4,3.607,3.4,3.56,3023601656,10611238477,920600.0,3277336.0
2026-08-06,,3.497,3.596,3.465,3.54,2067122652,7293013969,532700.0,1885758.0
2026-08-07,,3.54,3.636,3.529,3.586,2123497505,7613154133,1067600.0,3828414.0
2026-08-10,,3.586,3.601,3.495,3.559,1658070049,5864196999,728573.0,2592991.0
2026-08-11,,3.545,3.62,3.535,3.565,1496881510,5356011857,763700.0,2722591.0
2026-08-12,,3.556,3.643,3.556,3.621,1317047363,4751624393,561400.0,2032829.0
2026-08-13,,3.666,3.7,3.603,3.604,1586800928,5821154570,845600.0,3047542.0
2026-08-14,,3.627,3.65,3.595,3.645,1299592153,4713644283,342100.0,1246955.0
